id,humidity,light_intensity,temperature,wind_speed,predict_val,real_val
151,56.9,1421,37.5,13,24.584,0
152,56.1,1204,36.6,17,18.485,0
153,49.2,1380,40.8,0,9.773,0
154,52.6,1006,37.2,12,10.972,0
155,49.4,1051,38.8,6,12.026,0
156,48.7,1064,39,1,20.503,0
157,51.6,1173,38.3,8,10.445,0
158,48,1001,40,9,10.489,0
159,53.1,915,37.2,18,18.501,0
160,575,36.5,9,55,11.707,0
161,555,37.2,3,53.7,14.058,0
162,519,38,5,52.7,10.068,0
163,484,37.3,8,54.1,7.512,0
164,451,36.6,6,54.6,12.567,0
165,409,36.4,0,56.7,5.521,0
166,370,35,18,60.2,8.674,0
167,335,34.9,11,60,7.118,0
168,303,35,2,62.3,5.853,0
169,267,34.4,9,63.4,4.63,0
170,236,34.1,7,64.6,3.583,0
171,189,33.7,6,65.9,2.867,0
172,154,33.3,3,67,2.14,0
173,137,32.9,2,69.7,1.533,0
174,119,33,1,70.3,0.874,0
175,100,32.5,0,71.8,0.511,0
176,78,32,5,73.3,0.076,0
177,59,30.9,4,79,0,0
178,36,30.2,4,80.1,0,0
179,20,29.8,4,80.9,0,0
180,13,29.5,2,82.7,0,0
181,9,29.3,3,82.6,0,0
182,4,29.1,3,82.3,0,0
183,2,29.3,4,80.1,0,0
184,1,29,0,84.2,0,0
185,1,28.9,0,83.1,0,0
186,1,28.8,0,82.7,0,0
187,0,28.7,1,84.8,0,0
188,0,28.5,0,83.7,0,0
189,0,28.2,0,84.8,0,0
190,0,28,5,86.8,0,0
191,0,27.6,6,87.2,0,0
192,0,27.5,6,88.9,0,0
